;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N° de facture;N° de Relevé Détaillé;Date de facturation;Code filiale;N° client bénéficiaire;RS client bénéficiaire;Division de Parc (code);Division de Parc (libellé);N° de support;Rang;Libellé estampé (immat./nom);Mention complémentaire;Code émetteur;Type de véhicule (libellé);Date de la transaction;Heure de la transaction;Code produit (libellé);Quantité;Montant TTC remise/maj incl.;Montant HTVA remise/maj incl.;Montant TVA remise/maj incl.;Contre-valeur TTC remise/maj incl.;Contre-valeur HTVA remise/maj incl.;Contre-valeur TVA remise/maj incl.;Taux de TVA;Code pays de facturation (libellé);Prix de facturation (unitaire TTC);Code devise du pays de la transaction;Montant forfaitaire de remise;Code et nom de la station;Kilométrage saisi;Référence;Info. additionnelle (message client);Code conducteur;Nom du conducteur
;F3913519;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0190;0;BL338AS;CBSVU 02 03 04 ZZNAVV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;15/04/2013;17:23;Péage;1,00;2,00;2,00;0,00;2,00;2,00;0,00;;FRANCE;2,00;EUR;0,00;EL25011032 RHONE INT;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0200;0;BC985AT;MCT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;11:45;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004207 MONTELIMAR;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0140;2;CH690XV;FFY - VP - 03ZZZNCOM;701001;03-VEHICULE DE TOURISME;24/04/2013;18:09;Péage TVA;1,00;2,90;2,42;0,48;2,90;2,42;0,48;19,60;FRANCE;2,90;EUR;0,00;EA25003003 ISLE AB E;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0118;2;BZ110PB;FPT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;16:17;Péage TVA;1,00;3,70;3,09;0,61;3,70;3,09;0,61;19,60;FRANCE;3,70;EUR;0,00;EF25004202 CHANAS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0146;2;CF782JF;ANPN - VU - ZZZZZTLIV;701001;01-POIDS LOURD;16/04/2013;16:51;Gazole Excellium;41,90;59,30;49,58;9,72;59,30;49,58;9,72;19,60;FRANCE;1,46;EUR;-1,89;TFLDQ RELAIS PETIT ROUSSET;70415,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0100;2;CN355BQ;MZI -VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;10:05;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004203 TAIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0169;1;BD567FR;PIMT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;12:21;Péage TVA;1,00;3,50;2,93;0,57;3,50;2,93;0,57;19,60;FRANCE;3,50;EUR;0,00;EF25004180 BALBIGNY;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0143;2;CN589RC;DGZ - VP - 03ZZZNCOM;701001;03-VEHICULE DE TOURISME;22/04/2013;18:30;Gazole Premier;39,89;52,67;44,04;8,63;52,67;44,04;8,63;19,60;FRANCE;1,40;EUR;-3,19;TFFBD RELAIS VOREPPE;11850,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0197;0;BC652GB;GLX - VP - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;11:33;Péage TVA;1,00;2,20;1,84;0,36;2,20;1,84;0,36;19,60;FRANCE;2,20;EUR;0,00;EE25006033 LA CIOTAT;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0139;2;CG858TX;BFN - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;09:11;Péage TVA;1,00;0,90;0,75;0,15;0,90;0,75;0,15;19,60;FRANCE;0,90;EUR;0,00;EA25003003 ISLE AB E;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0137;2;CG865TX;FBL - VU - 04ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;08:21;Gazole Excellium;56,25;79,04;66,09;12,95;79,04;66,09;12,95;19,60;FRANCE;1,45;EUR;-2,54;TFLGS M. GUEBEY PIERRE;28225,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0024;0;BZ 408 GF;MBD - VP - 04ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;08:14;Péage TVA;1,00;5,80;4,85;0,95;5,80;4,85;0,95;19,60;FRANCE;5,80;EUR;0,00;EA25003021 G.CROLLES;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0115;2;CB920NT;GDR - VP - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;10:58;Péage TVA;1,00;3,10;2,59;0,51;3,10;2,59;0,51;19,60;FRANCE;3,10;EUR;0,00;EF25004202 CHANAS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0161;2;BK907ZM;MPN - VU - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;09:26;Parking;1,00;3,20;2,68;0,52;3,20;2,68;0,52;19,60;FRANCE;3,20;EUR;0,00;E3250AF382 VIENNE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0189;0;CC482EV;CTT VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;07:05;Péage TVA;1,00;0,80;0,67;0,13;0,80;0,67;0,13;19,60;FRANCE;0,80;EUR;0,00;ER25009400 SYSTEME OU;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0133;2;CG076TY;JMT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;17:06;Péage TVA;1,00;2,20;1,84;0,36;2,20;1,84;0,36;19,60;FRANCE;2,20;EUR;0,00;EA25003092 BAUME HOST;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0015;0;AB 659 TX;DCD - VU -03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;16:27;Péage TVA;1,00;4,20;3,51;0,69;4,20;3,51;0,69;19,60;FRANCE;4,20;EUR;0,00;EA25003085 RIVES;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0143;2;CN589RC;DGZ - VP - 03ZZZNCOM;701001;03-VEHICULE DE TOURISME;26/04/2013;08:12;Péage TVA;1,00;6,10;5,10;1,00;6,10;5,10;1,00;19,60;FRANCE;6,10;EUR;0,00;EA25003005 TOUR PIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0132;2;CH226XW;FRDN - VP - 02ZZZNCOM;701001;03-VEHICULE DE TOURISME;29/04/2013;08:22;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0106;2;BW482YW;CTE - VP - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE;1,00;0,39;0,33;0,06;0,39;0,33;0,06;19,60;;0,39;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0141;2;BJ172EF;CSA - VU - ZZZZZTLIV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;09:41;Gazole Excellium;68,68;95,84;80,13;15,71;95,84;80,13;15,71;19,60;FRANCE;1,44;EUR;-3,08;TFLBB RELAIS DES LUETTES;130525,00;000000;00000000000;0000;
;F3913519;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0187;0;BZ939LF;DVE VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;13:52;Péage;1,00;2,00;2,00;0,00;2,00;2,00;0,00;;FRANCE;2,00;EUR;0,00;EL25011032 RHONE INT;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0197;0;BC652GB;GLX - VP - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;18:01;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004207 MONTELIMAR;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0200;0;BC985AT;MCT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE;1,00;0,85;0,71;0,14;0,85;0,71;0,14;19,60;;0,85;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0117;2;CE769QE;CHT- VU -02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;09:38;Péage TVA;1,00;3,70;3,09;0,61;3,70;3,09;0,61;19,60;FRANCE;3,70;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0001;1;AA756VH-VU;SBH-VU-03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;14:33;Parking;1,00;5,00;4,18;0,82;5,00;4,18;0,82;19,60;FRANCE;5,00;EUR;0,00;J4250AU038 Grenoble;;;;;
;F3913519;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0187;0;BZ939LF;DVE VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;11:48;Péage;1,00;2,00;2,00;0,00;2,00;2,00;0,00;;FRANCE;2,00;EUR;0,00;EL25011031 RHONE EXT;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0193;0;BX293VW;LDE-VP-ZZZZZTDIS;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE PARKING;1,00;0,11;0,09;0,02;0,11;0,09;0,02;19,60;;0,11;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0197;0;BC652GB;GLX - VP - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE PARKING;1,00;0,19;0,16;0,03;0,19;0,16;0,03;19,60;;0,19;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0141;2;BJ172EF;CSA - VU - ZZZZZTLIV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;10:44;Gazole Excellium;77,11;108,37;90,61;17,76;108,37;90,61;17,76;19,60;FRANCE;1,45;EUR;-3,47;TFLEK RELAIS DU REPOSOIR;132500,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0128;2;CG943TX;JBA - VU - 02ZZZSTEC;701001;03-VEHICULE DE TOURISME;16/04/2013;19:50;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0004;0;BQ 989 CN;JVA - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;08:09;Péage TVA;1,00;2,80;2,34;0,46;2,80;2,34;0,46;19,60;FRANCE;2,80;EUR;0,00;EA25003085 RIVES;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0103;2;AJ349XJ;CCN - VU- 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;18:14;Péage TVA;1,00;2,50;2,09;0,41;2,50;2,09;0,41;19,60;FRANCE;2,50;EUR;0,00;EF25004202 CHANAS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0148;2;BK935ZM;FRPT - VU - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;12:27;Parking;1,00;0,80;0,67;0,13;0,80;0,67;0,13;19,60;FRANCE;0,80;EUR;0,00;J4250AU026 Valence;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0200;0;BC985AT;MCT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;14:15;Péage TVA;1,00;1,60;1,34;0,26;1,60;1,34;0,26;19,60;FRANCE;1,60;EUR;0,00;EF25004206 LORIOL;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0001;1;AA756VH-VU;SBH-VU-03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;17:43;Péage TVA;1,00;8,40;7,02;1,38;8,40;7,02;1,38;19,60;FRANCE;8,40;EUR;0,00;EA25003013 ANNECY N;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0015;0;AB 659 TX;DCD - VU -03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;08:43;Péage TVA;1,00;1,10;0,92;0,18;1,10;0,92;0,18;19,60;FRANCE;1,10;EUR;0,00;EA25003005 TOUR PIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0185;0;BR636QC;NLR VP 06ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;20:44;Gazole Premier;47,08;63,82;53,36;10,46;63,82;53,36;10,46;19,60;FRANCE;1,40;EUR;-2,11;TFLDR RELAIS GARIBALDI;56279,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0100;2;CN355BQ;MZI -VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;08:13;Péage TVA;1,00;1,60;1,34;0,26;1,60;1,34;0,26;19,60;FRANCE;1,60;EUR;0,00;EF25004206 LORIOL;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0184;0;BL500MV;FBA - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;17:44;Gazole Excellium;36,94;51,55;43,10;8,45;51,55;43,10;8,45;19,60;FRANCE;1,44;EUR;-1,66;TFLCH RELAIS VILLANCOURT;42000,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0145;3;BH972BA;BMR-VU-06ZZZAAUD+4+3+2;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;08:15;Péage TVA;1,00;18,20;15,22;2,98;18,20;15,22;2,98;19,60;FRANCE;18,20;EUR;0,00;EA25003091 CHATUZANGE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0141;2;BJ172EF;CSA - VU - ZZZZZTLIV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;09:26;Péage TVA;1,00;12,50;10,45;2,05;12,50;10,45;2,05;19,60;FRANCE;12,50;EUR;0,00;EA25003021 G.CROLLES;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0180;0;BV286RB;GZA - VU - 04ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE PARKING;1,00;0,08;0,07;0,01;0,08;0,07;0,01;19,60;;0,08;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0088;3;BB726KV;YCL - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;11:35;Gazole Excellium;55,19;77,01;64,39;12,62;77,01;64,39;12,62;19,60;FRANCE;1,44;EUR;-2,48;TFLDQ RELAIS PETIT ROUSSET;73287,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0006;0;CB764FQ;MMT - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;19:16;Péage TVA;1,00;5,20;4,35;0,85;5,20;4,35;0,85;19,60;FRANCE;5,20;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0082;4;HORS-PARC;PRE - VP - 02ZZZNCOM;701001;03-VEHICULE DE TOURISME;18/04/2013;17:25;Gazole Premier;57,43;77,38;64,70;12,68;77,38;64,70;12,68;19,60;FRANCE;1,40;EUR;-3,04;TFLJQ RELAIS DU LOMBARD;71300,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0131;2;CH933XV;SRZ - VP - 02ZZZNCOM;701001;03-VEHICULE DE TOURISME;29/04/2013;08:06;Gazole Excellium;58,49;80,16;67,02;13,14;80,16;67,02;13,14;19,60;FRANCE;1,45;EUR;-4,67;TFLRX RELAIS DE BOURDON;27919,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0141;2;BJ172EF;CSA - VU - ZZZZZTLIV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;16:15;Gazole Excellium;34,00;46,94;39,25;7,69;46,94;39,25;7,69;19,60;FRANCE;1,46;EUR;-2,71;TFHLZ RELAIS LA BAYANNE;129600,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0106;2;BW482YW;CTE - VP - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;16:02;Péage TVA;1,00;3,50;2,93;0,57;3,50;2,93;0,57;19,60;FRANCE;3,50;EUR;0,00;EF25004180 BALBIGNY;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0199;0;BE542EP;SMR - VU - 06ZZZSTE;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;08:34;Péage TVA;1,00;2,30;1,92;0,38;2,30;1,92;0,38;19,60;FRANCE;2,30;EUR;0,00;ER25009100 SYSTEME OU;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0088;3;BB726KV;YCL - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;11:35;Lavage;1,00;1,00;0,84;0,16;1,00;0,84;0,16;19,60;FRANCE;1,00;EUR;0,00;TFLDQ RELAIS PETIT ROUSSET;73287,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0103;2;AJ349XJ;CCN - VU- 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;16:48;Péage TVA;1,00;0,70;0,59;0,11;0,70;0,59;0,11;19,60;FRANCE;0,70;EUR;0,00;EF25004204 VALENCE-N;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0155;2;CK643RL;JFD - VU - 04ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;10:36;Gazole Excellium;35,70;49,81;41,65;8,16;49,81;41,65;8,16;19,60;FRANCE;1,44;EUR;-1,61;TFLFS RELAIS DES ALLUEGES;14411,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0186;0;BZ851LF;LJO VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;15:03;Péage TVA;1,00;0,80;0,67;0,13;0,80;0,67;0,13;19,60;FRANCE;0,80;EUR;0,00;EF25004268 B7: CHASSE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0103;2;AJ349XJ;CCN - VU- 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;10:06;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004203 TAIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0003;0;BQ557RS;BPS - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;21/04/2013;10:31;Gazole Excellium;55,95;78,07;65,28;12,79;78,07;65,28;12,79;19,60;FRANCE;1,44;EUR;-2,52;TFLDC SARL SADRA;60300,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0012;0;BX 398 QR;JIO - VU - 05INNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;15:03;Péage TVA;1,00;7,20;6,02;1,18;7,20;6,02;1,18;19,60;FRANCE;7,20;EUR;0,00;EA25003062 VILLEFONT.;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0189;0;CC482EV;CTT VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE;1,00;0,96;0,80;0,16;0,96;0,80;0,16;19,60;;0,96;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0100;2;CN355BQ;MZI -VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;08:16;Péage TVA;1,00;1,70;1,42;0,28;1,70;1,42;0,28;19,60;FRANCE;1,70;EUR;0,00;EF25004207 MONTELIMAR;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0167;1;BW452GT;CCR- VU -02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;18:37;Gazole Excellium;48,11;68,10;56,94;11,16;68,10;56,94;11,16;19,60;FRANCE;1,46;EUR;-2,16;TFVLB GARAGE NOALLY;53655,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0163;2;CN318GW;DCR - VU - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;09:44;Gazole Premier;41,49;56,24;47,02;9,22;56,24;47,02;9,22;19,60;FRANCE;1,40;EUR;-1,86;TFLTU RELAIS ST ETIENNE MASSENET;15280,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0089;3;CN248ML;ACN-VU-06ZZZAAUD+4+3+2-;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;11:17;Gazole Premier;35,59;48,59;40,63;7,96;48,59;40,63;7,96;19,60;FRANCE;1,41;EUR;-1,61;TFLMP EURL STATION DURET;12150,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;09:53;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;ER25009400 SYSTEME OU;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0103;2;AJ349XJ;CCN - VU- 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;08:17;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EF25004203 TAIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0118;2;BZ110PB;FPT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;17:38;Péage TVA;1,00;2,50;2,09;0,41;2,50;2,09;0,41;19,60;FRANCE;2,50;EUR;0,00;EF25004202 CHANAS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0186;0;BZ851LF;LJO VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;18:21;Péage TVA;1,00;2,70;2,26;0,44;2,70;2,26;0,44;19,60;FRANCE;2,70;EUR;0,00;ER25009122 VILLEFR.LI;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0011;0;CC034GR;JMB - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;12:14;Péage TVA;1,00;8,80;7,36;1,44;8,80;7,36;1,44;19,60;FRANCE;8,80;EUR;0,00;EA25003015 SCIENTRIER;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0118;2;BZ110PB;FPT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;10:29;Péage TVA;1,00;6,40;5,35;1,05;6,40;5,35;1,05;19,60;FRANCE;6,40;EUR;0,00;EF25004203 TAIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0141;2;BJ172EF;CSA - VU - ZZZZZTLIV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;16:09;Péage TVA;1,00;13,80;11,54;2,26;13,80;11,54;2,26;19,60;FRANCE;13,80;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0139;2;CG858TX;BFN - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;08:22;Péage TVA;1,00;6,10;5,10;1,00;6,10;5,10;1,00;19,60;FRANCE;6,10;EUR;0,00;EA25003095 TULLINS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0118;2;BZ110PB;FPT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE PARKING;1,00;0,08;0,07;0,01;0,08;0,07;0,01;19,60;;0,08;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0209;0;BG462RK;NPT - VU - 04ZZZNADM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;SECU 24/24;1,00;3,29;2,75;0,54;3,29;2,75;0,54;19,60;;3,29;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0017;0;BL441LF;RPC - VU - 03ZZZSTEC;701001;04-AUTRES;19/04/2013;08:18;Péage TVA;1,00;4,50;3,76;0,74;4,50;3,76;0,74;19,60;FRANCE;4,50;EUR;0,00;EA25003086 VOIRON;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;15:41;Péage TVA;1,00;2,70;2,26;0,44;2,70;2,26;0,44;19,60;FRANCE;2,70;EUR;0,00;ER25009221 VILLEFRAN.;;;;;
